Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte1;Datei_P_Spalte1;Datei_P_Spalte2;Kategorie
af;af;;;;;;VOK_KON_ANL_LANG
ef;ef;;;;;;VOK_KON_ANL_LANG
if;if;;;;;;VOK_KON_ANL_LANG
of;of;;;;;;VOK_KON_ANL_LANG
uf;uf;;;;;;VOK_KON_ANL_LANG
ak;ak;;;;;;VOK_KON_ANL_LANG
ek;ek;;;;;;VOK_KON_ANL_LANG
ik;ik;;;;;;VOK_KON_ANL_LANG
ok;ok;;;;;;VOK_KON_ANL_LANG
uk;uk;;;;;;VOK_KON_ANL_LANG
al;al;;;;;;VOK_KON_ANL_LANG
el;el;;;;;;VOK_KON_ANL_LANG
il;il;;;;;;VOK_KON_ANL_LANG
ol;ol;;;;;;VOK_KON_ANL_LANG
ul;ul;;;;;;VOK_KON_ANL_LANG
am;am;;;;;;VOK_KON_ANL_LANG
em;em;;;;;;VOK_KON_ANL_LANG
im;im;;;;;;VOK_KON_ANL_LANG
om;om;;;;;;VOK_KON_ANL_LANG
um;um;;;;;;VOK_KON_ANL_LANG
an;an;;;;;;VOK_KON_ANL_LANG
en;en;;;;;;VOK_KON_ANL_LANG
in;in;;;;;;VOK_KON_ANL_LANG
on;on;;;;;;VOK_KON_ANL_LANG
un;un;;;;;;VOK_KON_ANL_LANG
ap;ap;;;;;;VOK_KON_ANL_LANG
ep;ep;;;;;;VOK_KON_ANL_LANG
ip;ip;;;;;;VOK_KON_ANL_LANG
op;op;;;;;;VOK_KON_ANL_LANG
up;up;;;;;;VOK_KON_ANL_LANG
at;at;;;;;;VOK_KON_ANL_LANG
et;et;;;;;;VOK_KON_ANL_LANG
it;it;;;;;;VOK_KON_ANL_LANG
ot;ot;;;;;;VOK_KON_ANL_LANG
ut;ut;;;;;;VOK_KON_ANL_LANG
it;it;;;;;;VOK_KON_ANL_LANG
aß;aß;;;;;;VOK_KON_ANL_LANG
eß;eß;;;;;;VOK_KON_ANL_LANG
iß;iß;;;;;;VOK_KON_ANL_LANG
oß;oß;;;;;;VOK_KON_ANL_LANG
uß;uß;;;;;;VOK_KON_ANL_LANG
az;az;;;;;;VOK_KON_ANL_LANG
ez;ez;;;;;;VOK_KON_ANL_LANG
oz;oz;;;;;;VOK_KON_ANL_LANG
uz;uz;;;;;;VOK_KON_ANL_LANG
öf;öf;;;;;;VOK_KON_ANL_LANG
üf;üf;;;;;;VOK_KON_ANL_LANG
ök;ök;;;;;;VOK_KON_ANL_LANG
ük;ük;;;;;;VOK_KON_ANL_LANG
öl;öl;;;;;;VOK_KON_ANL_LANG
ül;ül;;;;;;VOK_KON_ANL_LANG
öm;öm;;;;;;VOK_KON_ANL_LANG
üm;üm;;;;;;VOK_KON_ANL_LANG
ön;ön;;;;;;VOK_KON_ANL_LANG
ün;ün;;;;;;VOK_KON_ANL_LANG
öp;öp;;;;;;VOK_KON_ANL_LANG
üp;üp;;;;;;VOK_KON_ANL_LANG
öt;öt;;;;;;VOK_KON_ANL_LANG
üt;üt;;;;;;VOK_KON_ANL_LANG
öz;öz;;;;;;VOK_KON_ANL_LANG
üz;üz;;;;;;VOK_KON_ANL_LANG
öß;öß;;;;;;VOK_KON_ANL_LANG
üß;üß;;;;;;VOK_KON_ANL_LANG
ach;;;;;;;VOK_KON_ANL_KURZ
ech;;;;;;;VOK_KON_ANL_KURZ
ich;;;;;;;VOK_KON_ANL_KURZ
och;;;;;;;VOK_KON_ANL_KURZ
uch;;;;;;;VOK_KON_ANL_KURZ
öch;;;;;;;VOK_KON_ANL_KURZ
üch;;;;;;;VOK_KON_ANL_KURZ
aff;;;;;;;VOK_KON_ANL_KURZ
eff;;;;;;;VOK_KON_ANL_KURZ
iff;;;;;;;VOK_KON_ANL_KURZ
off;;;;;;;VOK_KON_ANL_KURZ
uff;;;;;;;VOK_KON_ANL_KURZ
öff;;;;;;;VOK_KON_ANL_KURZ
üff;;;;;;;VOK_KON_ANL_KURZ
ack;;;;;;;VOK_KON_ANL_KURZ
eck;;;;;;;VOK_KON_ANL_KURZ
ick;;;;;;;VOK_KON_ANL_KURZ
ock;;;;;;;VOK_KON_ANL_KURZ
uck;;;;;;;VOK_KON_ANL_KURZ
öck;;;;;;;VOK_KON_ANL_KURZ
ück;;;;;;;VOK_KON_ANL_KURZ
all;;;;;;;VOK_KON_ANL_KURZ
ell;;;;;;;VOK_KON_ANL_KURZ
ill;;;;;;;VOK_KON_ANL_KURZ
oll;;;;;;;VOK_KON_ANL_KURZ
ull;;;;;;;VOK_KON_ANL_KURZ
öll;;;;;;;VOK_KON_ANL_KURZ
üll;;;;;;;VOK_KON_ANL_KURZ
amm;;;;;;;VOK_KON_ANL_KURZ
emm;;;;;;;VOK_KON_ANL_KURZ
imm;;;;;;;VOK_KON_ANL_KURZ
omm;;;;;;;VOK_KON_ANL_KURZ
umm;;;;;;;VOK_KON_ANL_KURZ
ömm;;;;;;;VOK_KON_ANL_KURZ
ümm;;;;;;;VOK_KON_ANL_KURZ
ann;;;;;;;VOK_KON_ANL_KURZ
enn;;;;;;;VOK_KON_ANL_KURZ
inn;;;;;;;VOK_KON_ANL_KURZ
onn;;;;;;;VOK_KON_ANL_KURZ
unn;;;;;;;VOK_KON_ANL_KURZ
önn;;;;;;;VOK_KON_ANL_KURZ
ünn;;;;;;;VOK_KON_ANL_KURZ
app;;;;;;;VOK_KON_ANL_KURZ
epp;;;;;;;VOK_KON_ANL_KURZ
ipp;;;;;;;VOK_KON_ANL_KURZ
opp;;;;;;;VOK_KON_ANL_KURZ
upp;;;;;;;VOK_KON_ANL_KURZ
öpp;;;;;;;VOK_KON_ANL_KURZ
üpp;;;;;;;VOK_KON_ANL_KURZ
ass;;;;;;;VOK_KON_ANL_KURZ
ess;;;;;;;VOK_KON_ANL_KURZ
iss;;;;;;;VOK_KON_ANL_KURZ
oss;;;;;;;VOK_KON_ANL_KURZ
uss;;;;;;;VOK_KON_ANL_KURZ
öss;;;;;;;VOK_KON_ANL_KURZ
üss;;;;;;;VOK_KON_ANL_KURZ
asch;;;;;;;VOK_KON_ANL_KURZ
esch;;;;;;;VOK_KON_ANL_KURZ
isch;;;;;;;VOK_KON_ANL_KURZ
osch;;;;;;;VOK_KON_ANL_KURZ
usch;;;;;;;VOK_KON_ANL_KURZ
ösch;;;;;;;VOK_KON_ANL_KURZ
üsch;;;;;;;VOK_KON_ANL_KURZ
att;;;;;;;VOK_KON_ANL_KURZ
ett;;;;;;;VOK_KON_ANL_KURZ
itt;;;;;;;VOK_KON_ANL_KURZ
ott;;;;;;;VOK_KON_ANL_KURZ
utt;;;;;;;VOK_KON_ANL_KURZ
ött;;;;;;;VOK_KON_ANL_KURZ
ütt;;;;;;;VOK_KON_ANL_KURZ
atz;;;;;;;VOK_KON_ANL_KURZ
itz;;;;;;;VOK_KON_ANL_KURZ
etz;;;;;;;VOK_KON_ANL_KURZ
otz;;;;;;;VOK_KON_ANL_KURZ
utz;;;;;;;VOK_KON_ANL_KURZ
ötz;;;;;;;VOK_KON_ANL_KURZ
ütz;;;;;;;VOK_KON_ANL_KURZ
